"DOY";"Taxa";"Station"
"17704";252;"Total";"BY15"
"17705";252;"Total";"BY15"
"17706";252;"Total";"BY15"
"17707";252;"Total";"BY15"
"17708";252;"Total";"BY15"
"17709";252;"Total";"BY15"
"17710";252;"Total";"BY15"
"17711";252;"Total";"BY15"
"17712";252;"Total";"BY15"
"17713";252;"Total";"BY15"
"17714";252;"Total";"BY15"
"17715";252;"Total";"BY15"
"17716";252;"Total";"BY15"
"17717";252;"Total";"BY15"
"17718";252;"Total";"BY15"
"17719";253;"Total";"BY15"
"17720";253;"Total";"BY15"
"17721";253;"Total";"BY15"
"17722";253;"Total";"BY15"
"17723";253;"Total";"BY15"
"17724";253;"Total";"BY15"
"17725";253;"Total";"BY15"
"17726";253;"Total";"BY15"
"17727";253;"Total";"BY15"
"17728";253;"Total";"BY15"
"17729";253;"Total";"BY15"
"17730";253;"Total";"BY15"
"17731";253;"Total";"BY15"
"17732";253;"Total";"BY15"
"17733";253;"Total";"BY15"
"17734";253;"Total";"BY15"
"17735";253;"Total";"BY15"
"17736";253;"Total";"BY15"
"17737";253;"Total";"BY15"
"17738";253;"Total";"BY15"
"17739";253;"Total";"BY15"
"17740";253;"Total";"BY15"
"17741";253;"Total";"BY15"
"17742";253;"Total";"BY15"
"17743";253;"Total";"BY15"
"17744";253;"Total";"BY15"
"17745";253;"Total";"BY15"
"17746";253;"Total";"BY15"
"17747";253;"Total";"BY15"
"17748";253;"Total";"BY15"
"17749";253;"Total";"BY15"
"17750";253;"Total";"BY15"
"17751";253;"Total";"BY15"
"17752";254;"Total";"BY15"
"17753";254;"Total";"BY15"
"17754";254;"Total";"BY15"
"17755";254;"Total";"BY15"
"17756";254;"Total";"BY15"
"17757";254;"Total";"BY15"
"17758";254;"Total";"BY15"
"17759";254;"Total";"BY15"
"17760";254;"Total";"BY15"
"17761";254;"Total";"BY15"
"17762";254;"Total";"BY15"
"17763";254;"Total";"BY15"
"17764";254;"Total";"BY15"
"17765";254;"Total";"BY15"
"17766";254;"Total";"BY15"
"17767";254;"Total";"BY15"
"17768";254;"Total";"BY15"
"17769";254;"Total";"BY15"
"17770";254;"Total";"BY15"
"17771";254;"Total";"BY15"
"17772";254;"Total";"BY15"
"17773";254;"Total";"BY15"
"17774";254;"Total";"BY15"
"17775";254;"Total";"BY15"
"17776";254;"Total";"BY15"
"17777";254;"Total";"BY15"
"17778";254;"Total";"BY15"
"17779";254;"Total";"BY15"
"17780";254;"Total";"BY15"
"17781";254;"Total";"BY15"
"17782";254;"Total";"BY15"
"17783";254;"Total";"BY15"
"17784";255;"Total";"BY15"
"17785";255;"Total";"BY15"
"17786";255;"Total";"BY15"
"17787";255;"Total";"BY15"
"17788";255;"Total";"BY15"
"17789";255;"Total";"BY15"
"17790";255;"Total";"BY15"
"17791";255;"Total";"BY15"
"17792";255;"Total";"BY15"
"17793";255;"Total";"BY15"
"17794";255;"Total";"BY15"
"17795";255;"Total";"BY15"
"17796";255;"Total";"BY15"
"17797";255;"Total";"BY15"
"17798";255;"Total";"BY15"
"17799";255;"Total";"BY15"
"17800";255;"Total";"BY15"
"17801";255;"Total";"BY15"
"17802";255;"Total";"BY15"
"17803";255;"Total";"BY15"
"17804";255;"Total";"BY15"
"17805";255;"Total";"BY15"
"17806";255;"Total";"BY15"
"17807";255;"Total";"BY15"
"17808";255;"Total";"BY15"
"17809";255;"Total";"BY15"
"17810";255;"Total";"BY15"
"17811";255;"Total";"BY15"
"17812";255;"Total";"BY15"
"17813";255;"Total";"BY15"
"17814";255;"Total";"BY15"
"17815";255;"Total";"BY15"
"17816";256;"Total";"BY15"
"17817";256;"Total";"BY15"
"17818";256;"Total";"BY15"
"17819";256;"Total";"BY15"
"17820";256;"Total";"BY15"
"17821";256;"Total";"BY15"
"17822";256;"Total";"BY15"
"17823";256;"Total";"BY15"
"17824";256;"Total";"BY15"
"17825";256;"Total";"BY15"
"17826";256;"Total";"BY15"
"17827";256;"Total";"BY15"
"17828";256;"Total";"BY15"
"17829";256;"Total";"BY15"
"17830";256;"Total";"BY15"
"17831";256;"Total";"BY15"
"17832";256;"Total";"BY15"
"17833";256;"Total";"BY15"
"17834";256;"Total";"BY15"
"17835";256;"Total";"BY15"
"17836";256;"Total";"BY15"
"17837";256;"Total";"BY15"
"17838";256;"Total";"BY15"
"17839";256;"Total";"BY15"
"17840";256;"Total";"BY15"
"17841";256;"Total";"BY15"
"17842";256;"Total";"BY15"
"17843";256;"Total";"BY15"
"17844";256;"Total";"BY15"
"17845";256;"Total";"BY15"
"17846";256;"Total";"BY15"
"17847";257;"Total";"BY15"
"17848";257;"Total";"BY15"
"17849";257;"Total";"BY15"
"17850";257;"Total";"BY15"
"17851";257;"Total";"BY15"
"17852";257;"Total";"BY15"
"17853";257;"Total";"BY15"
"17854";257;"Total";"BY15"
"17855";257;"Total";"BY15"
"17856";257;"Total";"BY15"
"17857";257;"Total";"BY15"
"17858";257;"Total";"BY15"
"17859";257;"Total";"BY15"
"17860";257;"Total";"BY15"
"17861";257;"Total";"BY15"
"17862";257;"Total";"BY15"
"17863";257;"Total";"BY15"
"17864";257;"Total";"BY15"
"17865";257;"Total";"BY15"
"17866";257;"Total";"BY15"
"17867";257;"Total";"BY15"
"17868";257;"Total";"BY15"
"17869";257;"Total";"BY15"
"17870";257;"Total";"BY15"
"17871";257;"Total";"BY15"
"17872";257;"Total";"BY15"
"17873";257;"Total";"BY15"
"17874";257;"Total";"BY15"
"17875";257;"Total";"BY15"
"17876";257;"Total";"BY15"
"17877";258;"Total";"BY15"
"17878";258;"Total";"BY15"
"17879";258;"Total";"BY15"
"17880";258;"Total";"BY15"
"17881";258;"Total";"BY15"
"17882";258;"Total";"BY15"
"17883";258;"Total";"BY15"
"17884";258;"Total";"BY15"
"17885";258;"Total";"BY15"
"17886";258;"Total";"BY15"
"17887";258;"Total";"BY15"
"17888";258;"Total";"BY15"
"17889";258;"Total";"BY15"
"17890";258;"Total";"BY15"
"17891";258;"Total";"BY15"
"17892";258;"Total";"BY15"
"17893";258;"Total";"BY15"
"17894";258;"Total";"BY15"
"17895";258;"Total";"BY15"
"17896";258;"Total";"BY15"
"17897";258;"Total";"BY15"
"17898";258;"Total";"BY15"
"17899";258;"Total";"BY15"
"17900";258;"Total";"BY15"
"17901";258;"Total";"BY15"
"17902";258;"Total";"BY15"
"17903";258;"Total";"BY15"
"17904";258;"Total";"BY15"
"17905";258;"Total";"BY15"
"17906";258;"Total";"BY15"
"17907";259;"Total";"BY15"
"17908";259;"Total";"BY15"
"17909";259;"Total";"BY15"
"17910";259;"Total";"BY15"
"17911";259;"Total";"BY15"
"17912";259;"Total";"BY15"
"17913";259;"Total";"BY15"
"17914";259;"Total";"BY15"
"17915";259;"Total";"BY15"
"17916";259;"Total";"BY15"
"17917";259;"Total";"BY15"
"17918";259;"Total";"BY15"
"17919";259;"Total";"BY15"
"17920";259;"Total";"BY15"
"17921";259;"Total";"BY15"
"17922";259;"Total";"BY15"
"17923";259;"Total";"BY15"
"17924";259;"Total";"BY15"
"17925";259;"Total";"BY15"
"17926";259;"Total";"BY15"
"17927";259;"Total";"BY15"
"17928";259;"Total";"BY15"
"17929";259;"Total";"BY15"
"17930";259;"Total";"BY15"
"17931";259;"Total";"BY15"
"17932";259;"Total";"BY15"
"17933";259;"Total";"BY15"
"17934";259;"Total";"BY15"
"17935";259;"Total";"BY15"
"17936";259;"Total";"BY15"
"17937";260;"Total";"BY15"
"17938";260;"Total";"BY15"
"17939";260;"Total";"BY15"
"17940";260;"Total";"BY15"
"17941";260;"Total";"BY15"
"17942";260;"Total";"BY15"
"17943";260;"Total";"BY15"
"17944";260;"Total";"BY15"
"17945";260;"Total";"BY15"
"17946";260;"Total";"BY15"
"17947";260;"Total";"BY15"
"17948";260;"Total";"BY15"
"17949";260;"Total";"BY15"
"17950";260;"Total";"BY15"
"17951";260;"Total";"BY15"
"17952";260;"Total";"BY15"
"17953";260;"Total";"BY15"
"17954";260;"Total";"BY15"
"17955";260;"Total";"BY15"
"17956";260;"Total";"BY15"
"17957";260;"Total";"BY15"
"17958";260;"Total";"BY15"
"17959";260;"Total";"BY15"
"17960";260;"Total";"BY15"
"17961";260;"Total";"BY15"
"17962";260;"Total";"BY15"
"17963";260;"Total";"BY15"
"17964";260;"Total";"BY15"
"17965";260;"Total";"BY15"
"17966";260;"Total";"BY15"
"17967";261;"Total";"BY15"
"17968";261;"Total";"BY15"
"17969";261;"Total";"BY15"
"17970";261;"Total";"BY15"
"17971";261;"Total";"BY15"
"17972";261;"Total";"BY15"
"17973";261;"Total";"BY15"
"17974";261;"Total";"BY15"
"17975";261;"Total";"BY15"
"17976";261;"Total";"BY15"
"17977";261;"Total";"BY15"
"17978";261;"Total";"BY15"
"17979";261;"Total";"BY15"
"17980";261;"Total";"BY15"
"17981";261;"Total";"BY15"
"17982";261;"Total";"BY15"
"17983";261;"Total";"BY15"
"17984";261;"Total";"BY15"
"17985";261;"Total";"BY15"
"17986";261;"Total";"BY15"
"17987";261;"Total";"BY15"
"17988";261;"Total";"BY15"
"17989";261;"Total";"BY15"
"17990";261;"Total";"BY15"
"17991";261;"Total";"BY15"
"17992";261;"Total";"BY15"
"17993";261;"Total";"BY15"
"17994";261;"Total";"BY15"
"17995";261;"Total";"BY15"
"17996";261;"Total";"BY15"
"17997";262;"Total";"BY15"
"17998";262;"Total";"BY15"
"17999";262;"Total";"BY15"
"18000";262;"Total";"BY15"
"18001";262;"Total";"BY15"
"18002";262;"Total";"BY15"
"18003";262;"Total";"BY15"
"18004";262;"Total";"BY15"
"18005";262;"Total";"BY15"
"18006";262;"Total";"BY15"
"18007";262;"Total";"BY15"
"18008";262;"Total";"BY15"
"18009";262;"Total";"BY15"
"18010";262;"Total";"BY15"
"18011";262;"Total";"BY15"
"18012";262;"Total";"BY15"
"18013";262;"Total";"BY15"
"18014";262;"Total";"BY15"
"18015";262;"Total";"BY15"
"18016";262;"Total";"BY15"
"18017";262;"Total";"BY15"
"18018";262;"Total";"BY15"
"18019";262;"Total";"BY15"
"18020";262;"Total";"BY15"
"18021";262;"Total";"BY15"
"18022";262;"Total";"BY15"
"18023";262;"Total";"BY15"
"18024";262;"Total";"BY15"
"18025";262;"Total";"BY15"
"18026";262;"Total";"BY15"
"18027";263;"Total";"BY15"
"18028";263;"Total";"BY15"
"18029";263;"Total";"BY15"
"18030";263;"Total";"BY15"
"18031";263;"Total";"BY15"
"18032";263;"Total";"BY15"
"18033";263;"Total";"BY15"
"18034";263;"Total";"BY15"
"18035";263;"Total";"BY15"
"18036";263;"Total";"BY15"
"18037";263;"Total";"BY15"
"18038";263;"Total";"BY15"
"18039";263;"Total";"BY15"
"18040";263;"Total";"BY15"
"18041";263;"Total";"BY15"
"18042";263;"Total";"BY15"
"18043";263;"Total";"BY15"
"18044";263;"Total";"BY15"
"18045";263;"Total";"BY15"
"18046";263;"Total";"BY15"
"18047";263;"Total";"BY15"
"18048";263;"Total";"BY15"
"18049";263;"Total";"BY15"
"18050";263;"Total";"BY15"
"18051";263;"Total";"BY15"
"18052";263;"Total";"BY15"
"18053";263;"Total";"BY15"
"18054";263;"Total";"BY15"
"18055";263;"Total";"BY15"
"18056";264;"Total";"BY15"
"18057";264;"Total";"BY15"
"18058";264;"Total";"BY15"
"18059";264;"Total";"BY15"
"18060";264;"Total";"BY15"
"18061";264;"Total";"BY15"
"18062";264;"Total";"BY15"
"18063";264;"Total";"BY15"
"18064";264;"Total";"BY15"
"18065";264;"Total";"BY15"
"18066";264;"Total";"BY15"
"18067";264;"Total";"BY15"
"18068";264;"Total";"BY15"
"18069";264;"Total";"BY15"
"18070";264;"Total";"BY15"
"18071";264;"Total";"BY15"
"18072";264;"Total";"BY15"
"18073";264;"Total";"BY15"
"18074";264;"Total";"BY15"
"18075";264;"Total";"BY15"
"18076";264;"Total";"BY15"
"18077";264;"Total";"BY15"
"18078";264;"Total";"BY15"
"18079";264;"Total";"BY15"
"18080";264;"Total";"BY15"
"18081";264;"Total";"BY15"
"18082";264;"Total";"BY15"
"18083";264;"Total";"BY15"
"18084";264;"Total";"BY15"
"18085";265;"Total";"BY15"
"18086";265;"Total";"BY15"
"18087";265;"Total";"BY15"
"18088";265;"Total";"BY15"
"18089";265;"Total";"BY15"
"18090";265;"Total";"BY15"
"18091";265;"Total";"BY15"
"18092";265;"Total";"BY15"
"18093";265;"Total";"BY15"
"18094";265;"Total";"BY15"
"18095";265;"Total";"BY15"
"18096";265;"Total";"BY15"
"18097";265;"Total";"BY15"
"18098";265;"Total";"BY15"
"18099";265;"Total";"BY15"
"18100";265;"Total";"BY15"
"18101";265;"Total";"BY15"
"18102";265;"Total";"BY15"
"18103";265;"Total";"BY15"
"18104";265;"Total";"BY15"
"18105";265;"Total";"BY15"
"18106";265;"Total";"BY15"
"18107";265;"Total";"BY15"
"18108";265;"Total";"BY15"
"18109";265;"Total";"BY15"
"18110";265;"Total";"BY15"
"18111";265;"Total";"BY15"
"18112";265;"Total";"BY15"
"18113";265;"Total";"BY15"
"18114";266;"Total";"BY15"
"18115";266;"Total";"BY15"
"18116";266;"Total";"BY15"
"18117";266;"Total";"BY15"
"18118";266;"Total";"BY15"
"18119";266;"Total";"BY15"
"18120";266;"Total";"BY15"
"18121";266;"Total";"BY15"
"18122";266;"Total";"BY15"
"18123";266;"Total";"BY15"
"18124";266;"Total";"BY15"
"18125";266;"Total";"BY15"
"18126";266;"Total";"BY15"
"18127";266;"Total";"BY15"
"18128";266;"Total";"BY15"
"18129";266;"Total";"BY15"
"18130";266;"Total";"BY15"
"18131";266;"Total";"BY15"
"18132";266;"Total";"BY15"
"18133";266;"Total";"BY15"
"18134";266;"Total";"BY15"
"18135";266;"Total";"BY15"
"18136";266;"Total";"BY15"
"18137";266;"Total";"BY15"
"18138";266;"Total";"BY15"
"18139";266;"Total";"BY15"
"18140";266;"Total";"BY15"
"18141";266;"Total";"BY15"
"18142";266;"Total";"BY15"
"18143";267;"Total";"BY15"
"18144";267;"Total";"BY15"
"18145";267;"Total";"BY15"
"18146";267;"Total";"BY15"
"18147";267;"Total";"BY15"
"18148";267;"Total";"BY15"
"18149";267;"Total";"BY15"
"18150";267;"Total";"BY15"
"18151";267;"Total";"BY15"
"18152";267;"Total";"BY15"
"18153";267;"Total";"BY15"
"18154";267;"Total";"BY15"
"18155";267;"Total";"BY15"
"18156";267;"Total";"BY15"
"18157";267;"Total";"BY15"
"18158";267;"Total";"BY15"
"18159";267;"Total";"BY15"
"18160";267;"Total";"BY15"
"18161";267;"Total";"BY15"
"18162";267;"Total";"BY15"
"18163";267;"Total";"BY15"
"18164";267;"Total";"BY15"
"18165";267;"Total";"BY15"
"18166";267;"Total";"BY15"
"18167";267;"Total";"BY15"
"18168";267;"Total";"BY15"
"18169";267;"Total";"BY15"
"18170";267;"Total";"BY15"
"18171";268;"Total";"BY15"
"18172";268;"Total";"BY15"
"18173";268;"Total";"BY15"
"18174";268;"Total";"BY15"
"18175";268;"Total";"BY15"
"18176";268;"Total";"BY15"
"18177";268;"Total";"BY15"
"18178";268;"Total";"BY15"
"18179";268;"Total";"BY15"
"18180";268;"Total";"BY15"
"18181";268;"Total";"BY15"
"18182";268;"Total";"BY15"
"18183";268;"Total";"BY15"
"18184";268;"Total";"BY15"
"18185";268;"Total";"BY15"
"18186";268;"Total";"BY15"
"18187";268;"Total";"BY15"
"18188";268;"Total";"BY15"
"18189";268;"Total";"BY15"
"18190";268;"Total";"BY15"
"18191";268;"Total";"BY15"
"18192";268;"Total";"BY15"
"18193";268;"Total";"BY15"
"18194";268;"Total";"BY15"
"18195";268;"Total";"BY15"
"18196";268;"Total";"BY15"
"18197";268;"Total";"BY15"
"18198";268;"Total";"BY15"
"18199";269;"Total";"BY15"
"18200";269;"Total";"BY15"
"18201";269;"Total";"BY15"
"18202";269;"Total";"BY15"
"18203";269;"Total";"BY15"
"18204";269;"Total";"BY15"
"18205";269;"Total";"BY15"
"18206";269;"Total";"BY15"
"18207";269;"Total";"BY15"
"18208";269;"Total";"BY15"
"18209";269;"Total";"BY15"
"18210";269;"Total";"BY15"
"18211";269;"Total";"BY15"
"18212";269;"Total";"BY15"
"18213";269;"Total";"BY15"
"18214";269;"Total";"BY15"
"18215";269;"Total";"BY15"
"18216";269;"Total";"BY15"
"18217";269;"Total";"BY15"
"18218";269;"Total";"BY15"
"18219";269;"Total";"BY15"
"18220";269;"Total";"BY15"
"18221";269;"Total";"BY15"
"18222";269;"Total";"BY15"
"18223";269;"Total";"BY15"
"18224";269;"Total";"BY15"
"18225";269;"Total";"BY15"
"18226";269;"Total";"BY15"
"18227";270;"Total";"BY15"
"18228";270;"Total";"BY15"
"18229";270;"Total";"BY15"
"18230";270;"Total";"BY15"
"18231";270;"Total";"BY15"
"18232";270;"Total";"BY15"
"18233";270;"Total";"BY15"
"18234";270;"Total";"BY15"
"18235";270;"Total";"BY15"
"18236";270;"Total";"BY15"
"18237";270;"Total";"BY15"
"18238";270;"Total";"BY15"
"18239";270;"Total";"BY15"
"18240";270;"Total";"BY15"
"18241";270;"Total";"BY15"
"18242";270;"Total";"BY15"
"18243";270;"Total";"BY15"
"18244";270;"Total";"BY15"
"18245";270;"Total";"BY15"
"18246";270;"Total";"BY15"
"18247";270;"Total";"BY15"
"18248";270;"Total";"BY15"
"18249";270;"Total";"BY15"
"18250";270;"Total";"BY15"
"18251";270;"Total";"BY15"
"18252";270;"Total";"BY15"
"18253";270;"Total";"BY15"
"18254";271;"Total";"BY15"
"18255";271;"Total";"BY15"
"18256";271;"Total";"BY15"
"18257";271;"Total";"BY15"
"18258";271;"Total";"BY15"
"18259";271;"Total";"BY15"
"18260";271;"Total";"BY15"
"18261";271;"Total";"BY15"
"18262";271;"Total";"BY15"
"18263";271;"Total";"BY15"
"18264";271;"Total";"BY15"
"18265";271;"Total";"BY15"
"18266";271;"Total";"BY15"
"18267";271;"Total";"BY15"
"18268";271;"Total";"BY15"
"18269";271;"Total";"BY15"
"18270";271;"Total";"BY15"
"18271";271;"Total";"BY15"
"18272";271;"Total";"BY15"
"18273";271;"Total";"BY15"
"18274";271;"Total";"BY15"
"18275";271;"Total";"BY15"
"18276";271;"Total";"BY15"
"18277";271;"Total";"BY15"
"18278";271;"Total";"BY15"
"18279";271;"Total";"BY15"
"18280";271;"Total";"BY15"
"18281";272;"Total";"BY15"
"18282";272;"Total";"BY15"
"18283";272;"Total";"BY15"
"18284";272;"Total";"BY15"
"18285";272;"Total";"BY15"
"18286";272;"Total";"BY15"
"18287";272;"Total";"BY15"
"18288";272;"Total";"BY15"
"18289";272;"Total";"BY15"
"18290";272;"Total";"BY15"
"18291";272;"Total";"BY15"
"18292";272;"Total";"BY15"
"18293";272;"Total";"BY15"
"18294";272;"Total";"BY15"
"18295";272;"Total";"BY15"
"18296";272;"Total";"BY15"
"18297";272;"Total";"BY15"
"18298";272;"Total";"BY15"
"18299";272;"Total";"BY15"
"18300";272;"Total";"BY15"
"18301";272;"Total";"BY15"
"18302";272;"Total";"BY15"
"18303";272;"Total";"BY15"
"18304";272;"Total";"BY15"
"18305";272;"Total";"BY15"
"18306";272;"Total";"BY15"
"18307";272;"Total";"BY15"
"18308";273;"Total";"BY15"
"18309";273;"Total";"BY15"
"18310";273;"Total";"BY15"
"18311";273;"Total";"BY15"
"18312";273;"Total";"BY15"
"18313";273;"Total";"BY15"
"18314";273;"Total";"BY15"
"18315";273;"Total";"BY15"
"18316";273;"Total";"BY15"
"18317";273;"Total";"BY15"
"18318";273;"Total";"BY15"
"18319";273;"Total";"BY15"
"18320";273;"Total";"BY15"
"18321";273;"Total";"BY15"
"18322";273;"Total";"BY15"
"18323";273;"Total";"BY15"
"18324";273;"Total";"BY15"
"18325";273;"Total";"BY15"
"18326";273;"Total";"BY15"
"18327";273;"Total";"BY15"
"18328";273;"Total";"BY15"
"18329";273;"Total";"BY15"
"18330";273;"Total";"BY15"
"18331";273;"Total";"BY15"
"18332";273;"Total";"BY15"
"18333";273;"Total";"BY15"
"18334";274;"Total";"BY15"
"18335";274;"Total";"BY15"
"18336";274;"Total";"BY15"
"18337";274;"Total";"BY15"
"18338";274;"Total";"BY15"
"18339";274;"Total";"BY15"
"18340";274;"Total";"BY15"
"18341";274;"Total";"BY15"
"18342";274;"Total";"BY15"
"18343";274;"Total";"BY15"
"18344";274;"Total";"BY15"
"18345";274;"Total";"BY15"
"18346";274;"Total";"BY15"
"18347";274;"Total";"BY15"
"18348";274;"Total";"BY15"
"18349";274;"Total";"BY15"
"18350";274;"Total";"BY15"
"18351";274;"Total";"BY15"
"18352";274;"Total";"BY15"
"18353";274;"Total";"BY15"
"18354";274;"Total";"BY15"
"18355";274;"Total";"BY15"
"18356";274;"Total";"BY15"
"18357";274;"Total";"BY15"
"18358";274;"Total";"BY15"
"18359";274;"Total";"BY15"
"18360";275;"Total";"BY15"
"18361";275;"Total";"BY15"
"18362";275;"Total";"BY15"
"18363";275;"Total";"BY15"
"18364";275;"Total";"BY15"
"18365";275;"Total";"BY15"
"18366";275;"Total";"BY15"
"18367";275;"Total";"BY15"
"18368";275;"Total";"BY15"
"18369";275;"Total";"BY15"
"18370";275;"Total";"BY15"
"18371";275;"Total";"BY15"
"18372";275;"Total";"BY15"
"18373";275;"Total";"BY15"
"18374";275;"Total";"BY15"
"18375";275;"Total";"BY15"
"18376";275;"Total";"BY15"
"18377";275;"Total";"BY15"
"18378";275;"Total";"BY15"
"18379";275;"Total";"BY15"
"18380";275;"Total";"BY15"
"18381";275;"Total";"BY15"
"18382";275;"Total";"BY15"
"18383";275;"Total";"BY15"
"18384";275;"Total";"BY15"
"18385";275;"Total";"BY15"
"18386";276;"Total";"BY15"
"18387";276;"Total";"BY15"
"18388";276;"Total";"BY15"
"18389";276;"Total";"BY15"
"18390";276;"Total";"BY15"
"18391";276;"Total";"BY15"
"18392";276;"Total";"BY15"
"18393";276;"Total";"BY15"
"18394";276;"Total";"BY15"
"18395";276;"Total";"BY15"
"18396";276;"Total";"BY15"
"18397";276;"Total";"BY15"
"18398";276;"Total";"BY15"
"18399";276;"Total";"BY15"
"18400";276;"Total";"BY15"
"18401";276;"Total";"BY15"
"18402";276;"Total";"BY15"
"18403";276;"Total";"BY15"
"18404";276;"Total";"BY15"
"18405";276;"Total";"BY15"
"18406";276;"Total";"BY15"
"18407";276;"Total";"BY15"
"18408";276;"Total";"BY15"
"18409";276;"Total";"BY15"
"18410";276;"Total";"BY15"
"18411";277;"Total";"BY15"
"18412";277;"Total";"BY15"
"18413";277;"Total";"BY15"
"18414";277;"Total";"BY15"
"18415";277;"Total";"BY15"
"18416";277;"Total";"BY15"
"18417";277;"Total";"BY15"
"18418";277;"Total";"BY15"
"18419";277;"Total";"BY15"
"18420";277;"Total";"BY15"
"18421";277;"Total";"BY15"
"18422";277;"Total";"BY15"
"18423";277;"Total";"BY15"
"18424";277;"Total";"BY15"
"18425";277;"Total";"BY15"
"18426";277;"Total";"BY15"
"18427";277;"Total";"BY15"
"18428";277;"Total";"BY15"
"18429";277;"Total";"BY15"
"18430";277;"Total";"BY15"
"18431";277;"Total";"BY15"
"18432";277;"Total";"BY15"
"18433";277;"Total";"BY15"
"18434";277;"Total";"BY15"
"18435";277;"Total";"BY15"
"18436";278;"Total";"BY15"
"18437";278;"Total";"BY15"
"18438";278;"Total";"BY15"
"18439";278;"Total";"BY15"
"18440";278;"Total";"BY15"
"18441";278;"Total";"BY15"
"18442";278;"Total";"BY15"
"18443";278;"Total";"BY15"
"18444";278;"Total";"BY15"
"18445";278;"Total";"BY15"
"18446";278;"Total";"BY15"
"18447";278;"Total";"BY15"
"18448";278;"Total";"BY15"
"18449";278;"Total";"BY15"
"18450";278;"Total";"BY15"
"18451";278;"Total";"BY15"
"18452";278;"Total";"BY15"
"18453";278;"Total";"BY15"
"18454";278;"Total";"BY15"
"18455";278;"Total";"BY15"
"18456";278;"Total";"BY15"
"18457";278;"Total";"BY15"
"18458";278;"Total";"BY15"
"18459";278;"Total";"BY15"
"18460";278;"Total";"BY15"
"18461";279;"Total";"BY15"
"18462";279;"Total";"BY15"
"18463";279;"Total";"BY15"
"18464";279;"Total";"BY15"
"18465";279;"Total";"BY15"
"18466";279;"Total";"BY15"
"18467";279;"Total";"BY15"
"18468";279;"Total";"BY15"
"18469";279;"Total";"BY15"
"18470";279;"Total";"BY15"
"18471";279;"Total";"BY15"
"18472";279;"Total";"BY15"
"18473";279;"Total";"BY15"
"18474";279;"Total";"BY15"
"18475";279;"Total";"BY15"
"18476";279;"Total";"BY15"
"18477";279;"Total";"BY15"
"18478";279;"Total";"BY15"
"18479";279;"Total";"BY15"
"18480";279;"Total";"BY15"
"18481";279;"Total";"BY15"
"18482";279;"Total";"BY15"
"18483";279;"Total";"BY15"
"18484";279;"Total";"BY15"
"18485";279;"Total";"BY15"
"18486";280;"Total";"BY15"
"18487";280;"Total";"BY15"
"18488";280;"Total";"BY15"
"18489";280;"Total";"BY15"
"18490";280;"Total";"BY15"
"18491";280;"Total";"BY15"
"18492";280;"Total";"BY15"
"18493";280;"Total";"BY15"
"18494";280;"Total";"BY15"
"18495";280;"Total";"BY15"
"18496";280;"Total";"BY15"
"18497";280;"Total";"BY15"
"18498";280;"Total";"BY15"
"18499";280;"Total";"BY15"
"18500";280;"Total";"BY15"
"18501";280;"Total";"BY15"
"18502";280;"Total";"BY15"
"18503";280;"Total";"BY15"
"18504";280;"Total";"BY15"
"18505";280;"Total";"BY15"
"18506";280;"Total";"BY15"
"18507";280;"Total";"BY15"
"18508";280;"Total";"BY15"
"18509";280;"Total";"BY15"
"18510";281;"Total";"BY15"
"18511";281;"Total";"BY15"
"18512";281;"Total";"BY15"
"18513";281;"Total";"BY15"
"18514";281;"Total";"BY15"
"18515";281;"Total";"BY15"
"18516";281;"Total";"BY15"
"18517";281;"Total";"BY15"
"18518";281;"Total";"BY15"
"18519";281;"Total";"BY15"
"18520";281;"Total";"BY15"
"18521";281;"Total";"BY15"
"18522";281;"Total";"BY15"
"18523";281;"Total";"BY15"
"18524";281;"Total";"BY15"
"18525";281;"Total";"BY15"
"18526";281;"Total";"BY15"
"18527";281;"Total";"BY15"
"18528";281;"Total";"BY15"
"18529";281;"Total";"BY15"
"18530";281;"Total";"BY15"
"18531";281;"Total";"BY15"
"18532";281;"Total";"BY15"
"18533";281;"Total";"BY15"
"18534";282;"Total";"BY15"
"18535";282;"Total";"BY15"
"18536";282;"Total";"BY15"
"18537";282;"Total";"BY15"
"18538";282;"Total";"BY15"
"18539";282;"Total";"BY15"
"18540";282;"Total";"BY15"
"18541";282;"Total";"BY15"
"18542";282;"Total";"BY15"
"18543";282;"Total";"BY15"
"18544";282;"Total";"BY15"
"18545";282;"Total";"BY15"
"18546";282;"Total";"BY15"
"18547";282;"Total";"BY15"
"18548";282;"Total";"BY15"
"18549";282;"Total";"BY15"
"18550";282;"Total";"BY15"
"18551";282;"Total";"BY15"
"18552";282;"Total";"BY15"
"18553";282;"Total";"BY15"
"18554";282;"Total";"BY15"
"18555";282;"Total";"BY15"
"18556";282;"Total";"BY15"
"18557";282;"Total";"BY15"
"18558";283;"Total";"BY15"
"18559";283;"Total";"BY15"
"18560";283;"Total";"BY15"
"18561";283;"Total";"BY15"
"18562";283;"Total";"BY15"
"18563";283;"Total";"BY15"
"18564";283;"Total";"BY15"
"18565";283;"Total";"BY15"
"18566";283;"Total";"BY15"
"18567";283;"Total";"BY15"
"18568";283;"Total";"BY15"
"18569";283;"Total";"BY15"
"18570";283;"Total";"BY15"
"18571";283;"Total";"BY15"
"18572";283;"Total";"BY15"
"18573";283;"Total";"BY15"
"18574";283;"Total";"BY15"
"18575";283;"Total";"BY15"
"18576";283;"Total";"BY15"
"18577";283;"Total";"BY15"
